"latin_binomial"	"common_name"	"pt"	"max"
Abies alba	European silver fir	Silver fir	c6858656-3d01-4683-bcae-d3090f6bbf20
Abies alba	Silver fir	Silver fir	c6858656-3d01-4683-bcae-d3090f6bbf20
Acanthus mollis	Bear's breeches	Bear's breeches	a4b65461-0c13-4606-b3fe-2493a34df60e
Acer floridanum	Sugarmaple	Sugarmaple	"87342938-1913-4899-96ab-c1a666f8503b"
Acer rubrum	Red maple	Rotahorn	dca88a50-dcaf-4ec2-a967-b6693312b055
Acer rubrum	Rotahorn	Rotahorn	dca88a50-dcaf-4ec2-a967-b6693312b055
Achillea millefolium	Common yarrow	Yarrow	fd6f5e8d-1483-4abf-9ea2-1358c6546bbf
Achillea millefolium	Milfoil	Yarrow	fd6f5e8d-1483-4abf-9ea2-1358c6546bbf
Achillea millefolium	Yarrow	Yarrow	fd6f5e8d-1483-4abf-9ea2-1358c6546bbf
Acorus calamus	Calamus	Sweetroot	c361ee2b-c3da-4529-a16d-10d927394571
Acorus calamus	Flagroot	Sweetroot	c361ee2b-c3da-4529-a16d-10d927394571
Acorus calamus	Myrtle-flag	Sweetroot	c361ee2b-c3da-4529-a16d-10d927394571
Acorus calamus	Sweet calamus	Sweetroot	c361ee2b-c3da-4529-a16d-10d927394571
Acorus calamus	Sweet-flag	Sweetroot	c361ee2b-c3da-4529-a16d-10d927394571
Acorus calamus	Sweetroot	Sweetroot	c361ee2b-c3da-4529-a16d-10d927394571
Actaea racemosa	Black bugbane	Black cohosh	"14021ec7-e812-4902-9692-7eb7ca234f13"
Actaea racemosa	Black cohosh	Black cohosh	"14021ec7-e812-4902-9692-7eb7ca234f13"
Actaea racemosa	Black snakeroot	Black cohosh	"14021ec7-e812-4902-9692-7eb7ca234f13"
Adiantum capillus	Common maidenhair	Maidenhair fern	"1a52a6dd-6962-4afd-9273-33f18802fbb9"
Adiantum capillus	Maidenhair fern	Maidenhair fern	"1a52a6dd-6962-4afd-9273-33f18802fbb9"
Aesculus hippocastanum	Common horse chestnut	Horse-chestnut	f99f948b-3e2a-4fc1-a321-5a1882985a11
Aesculus hippocastanum	Horse-chestnut	Horse-chestnut	f99f948b-3e2a-4fc1-a321-5a1882985a11
Aframomum melegueta	Guinea-pepper	Guinea-pepper	f3c325ad-db41-4a45-a0a6-a72447c1d70b
Agathosma betulina	Buchu	Mountain buchu	c1f4d2fb-83bd-4a8f-be47-30fdebaba6a8
Agathosma betulina	Honey buchu	Mountain buchu	c1f4d2fb-83bd-4a8f-be47-30fdebaba6a8
Agathosma betulina	Mountain buchu	Mountain buchu	c1f4d2fb-83bd-4a8f-be47-30fdebaba6a8
Agrimonia eupatoria	Agrimony	Da hua long ya cao	ea0d693a-4a6c-40f4-a160-f8c224747806
Agrimonia eupatoria	Da hua long ya cao	Da hua long ya cao	ea0d693a-4a6c-40f4-a160-f8c224747806
Albizia julibrissin	Happiness Tree	Silktree albizia	ea7062e4-b93e-45eb-9db8-2cd77cc04b9f
Albizia julibrissin	He huan	Silktree albizia	ea7062e4-b93e-45eb-9db8-2cd77cc04b9f
Albizia julibrissin	Mimosa	Silktree albizia	ea7062e4-b93e-45eb-9db8-2cd77cc04b9f
Albizia julibrissin	Silktree	Silktree albizia	ea7062e4-b93e-45eb-9db8-2cd77cc04b9f
Albizia julibrissin	Silktree albizia	Silktree albizia	ea7062e4-b93e-45eb-9db8-2cd77cc04b9f
Alchemilla xanthochlora	Lady's-mantle	Lady's-mantle	e6ee11b0-69f2-4b3a-94d8-a46de7eca8c8
Allium cepa	Onion	Shallot	c95b0f35-c4e1-41be-a15a-75a1ec8c16e9
Allium cepa	Shallot	Shallot	c95b0f35-c4e1-41be-a15a-75a1ec8c16e9
Aloe vera	Aloe	Aloe vera	cf371310-170f-4572-8a1b-7d4fe69aa271
Aloe vera	Aloe vera	Aloe vera	cf371310-170f-4572-8a1b-7d4fe69aa271
Aloe vera	Barbados aloe	Aloe vera	cf371310-170f-4572-8a1b-7d4fe69aa271
Aloe vera	Curaçao aloe	Aloe vera	cf371310-170f-4572-8a1b-7d4fe69aa271
Aloe vera	True aloe	Aloe vera	cf371310-170f-4572-8a1b-7d4fe69aa271
Aloe vera	West Indian aloe	Aloe vera	cf371310-170f-4572-8a1b-7d4fe69aa271
Alpinia officinarum	Chinese-ginger	Lesser galangal	d74c0c4d-14fd-411b-82e0-f80d84123933
Alpinia officinarum	Lesser galanga	Lesser galangal	d74c0c4d-14fd-411b-82e0-f80d84123933
Alpinia officinarum	Lesser galangal	Lesser galangal	d74c0c4d-14fd-411b-82e0-f80d84123933
Amaranthus spinosus	Prickly Amaranth	Spiny Amaranth	ef2a4bb3-f678-4955-9563-a617a97896cc
Amaranthus spinosus	Spiny Amaranth	Spiny Amaranth	ef2a4bb3-f678-4955-9563-a617a97896cc
Amomum villosum	Sha ren	Villous amomum	e21c9a66-8cae-4758-a25a-dac290ac6e58
Amomum villosum	Sharen	Villous amomum	e21c9a66-8cae-4758-a25a-dac290ac6e58
Amomum villosum	Villous amomum	Villous amomum	e21c9a66-8cae-4758-a25a-dac290ac6e58
