"concept_id"	"concept_name"	"domain_id"	"vocabulary_id"	"concept_class_id"	"standard_concept"	"concept_code"	"valid_start_date"	"valid_end_date"	"invalid_reason"
-7001178	Motherwort	NaPDI research	NAPDI	NaPDI Preferred Term	""	Motherwort	2000-01-01	2099-02-22	""
-7001179	Water hyssop	NaPDI research	NAPDI	NaPDI Preferred Term	""	Water hyssop	2000-01-01	2099-02-22	""
-7001180	Purplegranadilla	NaPDI research	NAPDI	NaPDI Preferred Term	""	Purplegranadilla	2000-01-01	2099-02-22	""
-7001181	Yellow gentian	NaPDI research	NAPDI	NaPDI Preferred Term	""	Yellow gentian	2000-01-01	2099-02-22	""
-7001182	Da hua long ya cao	NaPDI research	NAPDI	NaPDI Preferred Term	""	Da hua long ya cao	2000-01-01	2099-02-22	""
-7001183	piprage	NaPDI research	NAPDI	NaPDI Preferred Term	""	piprage	2000-01-01	2099-02-22	""
-7001184	Yellow chasteweed	NaPDI research	NAPDI	NaPDI Preferred Term	""	Yellow chasteweed	2000-01-01	2099-02-22	""
-7001185	One-style hawthorn	NaPDI research	NAPDI	NaPDI Preferred Term	""	One-style hawthorn	2000-01-01	2099-02-22	""
-7001186	Magnolia-bark	NaPDI research	NAPDI	NaPDI Preferred Term	""	Magnolia-bark	2000-01-01	2099-02-22	""
-7001187	Wild geranium	NaPDI research	NAPDI	NaPDI Preferred Term	""	Wild geranium	2000-01-01	2099-02-22	""
-7001188	Spanish-needles	NaPDI research	NAPDI	NaPDI Preferred Term	""	Spanish-needles	2000-01-01	2099-02-22	""
-7001189	Grapefruit	NaPDI research	NAPDI	NaPDI Preferred Term	""	Grapefruit	2000-01-01	2099-02-22	""
-7001190	Patchouly	NaPDI research	NAPDI	NaPDI Preferred Term	""	Patchouly	2000-01-01	2099-02-22	""
-7001191	Nimtree	NaPDI research	NAPDI	NaPDI Preferred Term	""	Nimtree	2000-01-01	2099-02-22	""
-7001192	Xiakucao	NaPDI research	NAPDI	NaPDI Preferred Term	""	Xiakucao	2000-01-01	2099-02-22	""
-7001193	Boswellia	NaPDI research	NAPDI	NaPDI Preferred Term	""	Boswellia	2000-01-01	2099-02-22	""
-7001194	Prince's-pine	NaPDI research	NAPDI	NaPDI Preferred Term	""	Prince's-pine	2000-01-01	2099-02-22	""
-7001195	Silver fir	NaPDI research	NAPDI	NaPDI Preferred Term	""	Silver fir	2000-01-01	2099-02-22	""
-7001196	Shan zhu yu	NaPDI research	NAPDI	NaPDI Preferred Term	""	Shan zhu yu	2000-01-01	2099-02-22	""
-7001197	Virginian skullcap	NaPDI research	NAPDI	NaPDI Preferred Term	""	Virginian skullcap	2000-01-01	2099-02-22	""
-7001198	PoisonBerry	NaPDI research	NAPDI	NaPDI Preferred Term	""	PoisonBerry	2000-01-01	2099-02-22	""
-7001199	Scots heather	NaPDI research	NAPDI	NaPDI Preferred Term	""	Scots heather	2000-01-01	2099-02-22	""
-7001200	Boldu	NaPDI research	NAPDI	NaPDI Preferred Term	""	Boldu	2000-01-01	2099-02-22	""
-7001201	Spearmint	NaPDI research	NAPDI	NaPDI Preferred Term	""	Spearmint	2000-01-01	2099-02-22	""
-7001202	Breadfruit	NaPDI research	NAPDI	NaPDI Preferred Term	""	Breadfruit	2000-01-01	2099-02-22	""
-7001203	Pi ba	NaPDI research	NAPDI	NaPDI Preferred Term	""	Pi ba	2000-01-01	2099-02-22	""
-7001519	GUAIOL	NaPDI research	NAPDI	NaPDI NP Constituent	""	"6cff886c-d03f-4935-9595-6f8e4d141339"	2000-01-01	2099-02-22	""
-7001576	NICKEL	NaPDI research	NAPDI	NaPDI NP Constituent	""	"1141acb4-e3c4-4eab-8e2e-ca35705cafc4"	2000-01-01	2099-02-22	""
-7002479	DIOSMIN	NaPDI research	NAPDI	NaPDI NP Constituent	""	"22ad8423-31b3-479b-9e46-5d5391878816"	2000-01-01	2099-02-22	""
-7002823	GARLIC PILL (ALLIUM SATIVUM)	NaPDI research	NAPDI	NaPDI NP Spelling Variation	""	Garlic	2000-01-01	2099-02-22	""
-7002948	BURDOCKROOT	NaPDI research	NAPDI	NaPDI NP Spelling Variation	""	Niu bang zi	2000-01-01	2099-02-22	""
-7002949	BURDICK WOOD	NaPDI research	NAPDI	NaPDI NP Spelling Variation	""	Niu bang zi	2000-01-01	2099-02-22	""
