"concept_id_1"	"concept_id_2"	"relationship_id"	"valid_start_date"	"valid_end_date"	"invalid_reason"
-7000012	-7000963	napdi_pt	2000-01-01	2099-02-22	""
-7000013	-7000963	napdi_pt	2000-01-01	2099-02-22	""
-7000014	-7000963	napdi_pt	2000-01-01	2099-02-22	""
-7000847	-7000964	napdi_pt	2000-01-01	2099-02-22	""
-7000848	-7000964	napdi_pt	2000-01-01	2099-02-22	""
-7000846	-7000964	napdi_pt	2000-01-01	2099-02-22	""
-7000849	-7000964	napdi_pt	2000-01-01	2099-02-22	""
-7000616	-7000965	napdi_pt	2000-01-01	2099-02-22	""
-7000042	-7000966	napdi_pt	2000-01-01	2099-02-22	""
-7000213	-7000967	napdi_pt	2000-01-01	2099-02-22	""
-7000214	-7000967	napdi_pt	2000-01-01	2099-02-22	""
-7000215	-7000967	napdi_pt	2000-01-01	2099-02-22	""
-7000216	-7000967	napdi_pt	2000-01-01	2099-02-22	""
-7000217	-7000967	napdi_pt	2000-01-01	2099-02-22	""
-7000218	-7000967	napdi_pt	2000-01-01	2099-02-22	""
-7000011	-7000968	napdi_pt	2000-01-01	2099-02-22	""
-7000010	-7000968	napdi_pt	2000-01-01	2099-02-22	""
-7000502	-7000969	napdi_pt	2000-01-01	2099-02-22	""
-7000503	-7000969	napdi_pt	2000-01-01	2099-02-22	""
-7000774	-7000970	napdi_pt	2000-01-01	2099-02-22	""
-7000608	-7000971	napdi_pt	2000-01-01	2099-02-22	""
-7000611	-7000971	napdi_pt	2000-01-01	2099-02-22	""
-7000607	-7000971	napdi_pt	2000-01-01	2099-02-22	""
-7000610	-7000971	napdi_pt	2000-01-01	2099-02-22	""
-7000609	-7000971	napdi_pt	2000-01-01	2099-02-22	""
-7000633	-7000972	napdi_pt	2000-01-01	2099-02-22	""
-7000411	-7000973	napdi_pt	2000-01-01	2099-02-22	""
-7000255	-7000974	napdi_pt	2000-01-01	2099-02-22	""
-7000257	-7000974	napdi_pt	2000-01-01	2099-02-22	""
-7000256	-7000974	napdi_pt	2000-01-01	2099-02-22	""
-7000845	-7000975	napdi_pt	2000-01-01	2099-02-22	""
-7000244	-7000976	napdi_pt	2000-01-01	2099-02-22	""
-7000251	-7000976	napdi_pt	2000-01-01	2099-02-22	""
-7000249	-7000976	napdi_pt	2000-01-01	2099-02-22	""
-7000245	-7000976	napdi_pt	2000-01-01	2099-02-22	""
-7000250	-7000976	napdi_pt	2000-01-01	2099-02-22	""
-7000248	-7000976	napdi_pt	2000-01-01	2099-02-22	""
-7000252	-7000976	napdi_pt	2000-01-01	2099-02-22	""
-7000247	-7000976	napdi_pt	2000-01-01	2099-02-22	""
-7000243	-7000976	napdi_pt	2000-01-01	2099-02-22	""
-7000246	-7000976	napdi_pt	2000-01-01	2099-02-22	""
-7000446	-7000977	napdi_pt	2000-01-01	2099-02-22	""
-7000447	-7000977	napdi_pt	2000-01-01	2099-02-22	""
-7000445	-7000977	napdi_pt	2000-01-01	2099-02-22	""
-7000448	-7000977	napdi_pt	2000-01-01	2099-02-22	""
-7000150	-7000978	napdi_pt	2000-01-01	2099-02-22	""
-7000144	-7000978	napdi_pt	2000-01-01	2099-02-22	""
-7000141	-7000978	napdi_pt	2000-01-01	2099-02-22	""
-7000153	-7000978	napdi_pt	2000-01-01	2099-02-22	""
-7000146	-7000978	napdi_pt	2000-01-01	2099-02-22	""
-7000142	-7000978	napdi_pt	2000-01-01	2099-02-22	""
-7000148	-7000978	napdi_pt	2000-01-01	2099-02-22	""
-7000151	-7000978	napdi_pt	2000-01-01	2099-02-22	""
-7000154	-7000978	napdi_pt	2000-01-01	2099-02-22	""
-7000147	-7000978	napdi_pt	2000-01-01	2099-02-22	""
-7000149	-7000978	napdi_pt	2000-01-01	2099-02-22	""
-7000145	-7000978	napdi_pt	2000-01-01	2099-02-22	""
-7000152	-7000978	napdi_pt	2000-01-01	2099-02-22	""
-7000155	-7000978	napdi_pt	2000-01-01	2099-02-22	""
-7000139	-7000978	napdi_pt	2000-01-01	2099-02-22	""
-7000143	-7000978	napdi_pt	2000-01-01	2099-02-22	""
-7000140	-7000978	napdi_pt	2000-01-01	2099-02-22	""
-7000075	-7000979	napdi_pt	2000-01-01	2099-02-22	""
-7000083	-7000979	napdi_pt	2000-01-01	2099-02-22	""
-7000076	-7000979	napdi_pt	2000-01-01	2099-02-22	""
-7000077	-7000979	napdi_pt	2000-01-01	2099-02-22	""
-7000080	-7000979	napdi_pt	2000-01-01	2099-02-22	""
-7000082	-7000979	napdi_pt	2000-01-01	2099-02-22	""
-7000079	-7000979	napdi_pt	2000-01-01	2099-02-22	""
-7000073	-7000979	napdi_pt	2000-01-01	2099-02-22	""
-7000072	-7000979	napdi_pt	2000-01-01	2099-02-22	""
-7000071	-7000979	napdi_pt	2000-01-01	2099-02-22	""
-7000081	-7000979	napdi_pt	2000-01-01	2099-02-22	""
-7000074	-7000979	napdi_pt	2000-01-01	2099-02-22	""
-7000078	-7000979	napdi_pt	2000-01-01	2099-02-22	""
-7000939	-7000980	napdi_pt	2000-01-01	2099-02-22	""
-7000941	-7000980	napdi_pt	2000-01-01	2099-02-22	""
-7000940	-7000980	napdi_pt	2000-01-01	2099-02-22	""
-7000747	-7000981	napdi_pt	2000-01-01	2099-02-22	""
-7000746	-7000981	napdi_pt	2000-01-01	2099-02-22	""
-7000749	-7000981	napdi_pt	2000-01-01	2099-02-22	""
-7000748	-7000981	napdi_pt	2000-01-01	2099-02-22	""
