"concept_id"	"concept_name"	"domain_id"	"vocabulary_id"	"concept_class_id"	"standard_concept"	"concept_code"	"valid_start_date"	"valid_end_date"	"invalid_reason"
-9900000	NaPDI custom terms	Metadata	Domain	Domain	""	OMOP generated	2000-01-01	2099-02-22	""
-9990000	NaPDI Natural Product	Metadata	Concept Class	Concept Class	""	OMOP generated	2000-01-01	2099-02-22	""
-9990001	NaPDI NP Constituent	Metadata	Concept Class	Concept Class	""	OMOP generated	2000-01-01	2099-02-22	""
-9990002	NaPDI NP Spelling Variation	Metadata	Concept Class	Concept Class	""	OMOP generated	2000-01-01	2099-02-22	""
-9990003	NaPDI Preferred Term	Metadata	Concept Class	Concept Class	""	OMOP generated	2000-01-01	2099-02-22	""
-7000000	napdi_has_const	Metadata	Relationship	Relationship	""	OMOP generated	2000-01-01	2099-02-22	""
-7000001	napdi_is_const_of	Metadata	Relationship	Relationship	""	OMOP generated	2000-01-01	2099-02-22	""
-7000002	napdi_pt	Metadata	Relationship	Relationship	""	OMOP generated	2000-01-01	2099-02-22	""
-7000003	napdi_is_pt_of	Metadata	Relationship	Relationship	""	OMOP generated	2000-01-01	2099-02-22	""
-7000004	napdi_spell_vr	Metadata	Relationship	Relationship	""	OMOP generated	2000-01-01	2099-02-22	""
-7000005	napdi_is_spell_vr_of	Metadata	Relationship	Relationship	""	OMOP generated	2000-01-01	2099-02-22	""
-7000006	European silver fir[Abies alba]	NaPDI research	NAPDI	Silver fir	""	c3799254-647a-4827-9dca-099eff49b5b5	2000-01-01	2099-02-22	""
-7000007	Silver fir[Abies alba]	NaPDI research	NAPDI	Silver fir	""	c3799254-647a-4827-9dca-099eff49b5b5	2000-01-01	2099-02-22	""
-7000008	Bear's breeches[Acanthus mollis]	NaPDI research	NAPDI	Bear's breeches	""	a4b65461-0c13-4606-b3fe-2493a34df60e	2000-01-01	2099-02-22	""
-7000009	Sugarmaple[Acer floridanum]	NaPDI research	NAPDI	Sugarmaple	""	"87342938-1913-4899-96ab-c1a666f8503b"	2000-01-01	2099-02-22	""
-7000010	Red maple[Acer rubrum]	NaPDI research	NAPDI	Rotahorn	""	ce50d3a4-fb7e-476e-9561-c92696b72ca5	2000-01-01	2099-02-22	""
-7000011	Rotahorn[Acer rubrum]	NaPDI research	NAPDI	Rotahorn	""	ce50d3a4-fb7e-476e-9561-c92696b72ca5	2000-01-01	2099-02-22	""
-7000012	Common yarrow[Achillea millefolium]	NaPDI research	NAPDI	Yarrow	""	b0620ad8-2570-45c5-8f8a-da22dd7aff27	2000-01-01	2099-02-22	""
-7000013	Milfoil[Achillea millefolium]	NaPDI research	NAPDI	Yarrow	""	b0620ad8-2570-45c5-8f8a-da22dd7aff27	2000-01-01	2099-02-22	""
